,SRR1275356,SRR1275251,SRR1275287,SRR1275364,SRR1275269,SRR1275263,SRR1275338,SRR1274117,SRR1274089,SRR1274125,SRR1275299,SRR1275277,SRR1275370,SRR1275293,SRR1275348,SRR1275245,SRR1275342,SRR1274131,SRR1275346,SRR1275241,SRR1275279,SRR1275297,SRR1275273,SRR1274121,SRR1275336,SRR1274119,SRR1274087,SRR1274113,SRR1275267,SRR1275289,SRR1275283,SRR1275360,SRR1275255,SRR1275358,SRR1275352,SRR1275265,SRR1275368,SRR1275281,SRR1275362,SRR1275257,SRR1275350,SRR1274129,SRR1274123,SRR1275334,SRR1274085,SRR1274111,SRR1275249,SRR1275344,SRR1275243,SRR1275301,SRR1275295,SRR1275271,SRR1274133,SRR1275275,SRR1275291,SRR1275247,SRR1275340,SRR1274115,SRR1274127,SRR1275354,SRR1275259,SRR1275253,SRR1275285,SRR1275366,SRR1275261
ADGRA3,554,1,4,1,8,14,1,90,0,7,7,0,1,0,6,0,0,225,103,774,9,620,0,72,172,0,265,0,41,0,0,894,33,10,3364,120,1,0,0,0,38,142,15,0,18,124,1,48,37,0,7,0,610,14,0,2024,1,119,250,46,0,1,230,1,0
ADGRB3,0,1,4,1,0,0,1,0,40,0,7,716,1,0,380,202,0,0,0,0,0,48,4024,0,0,0,0,0,15,112,119,229,0,0,3353,0,2038,63,101,0,146,0,0,0,0,0,1,0,131,0,3516,89,0,16,6,0,1,0,0,0,0,1,67,1,0
ADGRG1,0,1,127,1,49,0,1493,84,317,0,78,79,1,153,106,0,262,1,0,627,1,0,17,0,1165,298,1,66,763,8,4,726,33,0,1074,0,1,0,122,43,27,46,4,0,1,54,803,0,34,79,7,0,20,64,59,0,1003,175,0,0,373,1708,6,118,0
ADGRL1,0,1,4,1,8,0,1,1,0,0,0,11,82,71,0,0,0,3,0,0,33,0,0,9,259,20,0,0,0,51,4,0,0,0,4,277,1,110,0,390,0,2,12,0,0,2,1,21,25,25,137,2,3,2,21,19,1,0,12,46,0,1,0,1,0
ADGRL2,0,1,457,1,0,26,1086,8,309,16,0,6,1,0,84,0,58,2,94,17,9,0,0,24,127,25,30,16,31,0,1,0,0,3276,303,0,1,0,21,0,0,19,13,51,16,217,68,25,0,32,0,5682,3384,11,0,670,1,12,0,0,50,1,3,1,0
ADGRL3,0,1,0,1335,0,0,1,2,3,0,7,15,995,217,0,0,0,0,0,0,44,411,620,40,0,369,0,0,334,2841,26,459,33,10,0,0,1,1212,0,20,0,0,0,145,0,403,987,0,0,3766,841,0,31,132,13,2,1,1,2,826,0,1736,17,1,0
ADGRV1,0,1,225,1,0,205,1,2,22,0,0,308,150,26,5428,0,5428,0,2797,3408,5,14,223,3,0,82,0,2,86,54,2,910,0,9550,12676,19,6117,1127,821,0,3230,2,7,51,0,363,521,27,1735,90,297,2,19,385,410,121,1338,42,0,93,760,1,32,126,0
ADH5,64,1,711,2024,1088,0,389,1852,3882,753,0,53,1,2920,2780,0,11070,129,0,1444,24,0,189,83,0,574,3799,6,221,2758,13,0,1832,10,20,19,89,338,385,0,38,9,1600,0,1130,57,977,0,3766,1774,94,0,239,1680,20,0,1,200,5867,46,190,120,3,507,22
ADIPOR1,382,1,61,1,14,1517,1,5,3,0,32,0,1,0,0,0,0,5,98,35,26,0,0,61,127,0,484,0,0,0,2,0,250,0,50,1394,555,0,8,0,150,11,1,0,2,1648,1,700,95,90,48,13,9,0,0,335,1,18,2,0,239,371,9,281,0
ADIPOR2,0,1,0,1,0,0,126,151,14,8,0,0,1,0,254,0,0,160,471,0,4,0,0,0,0,0,0,0,31,36,0,0,0,0,75,734,1,0,0,0,0,141,0,0,69,0,1,845,1651,0,0,0,0,501,36,4,1,25,33,0,0,1,41,1,22
ADK,0,1,395,1,1253,0,1012,90,1099,14,0,15,1,0,3031,37,0,3,0,73,217,0,0,3,0,37,70,2089,0,0,19,0,0,76,5507,0,89,0,1532,20,14,258,1,0,107,0,68,0,0,1625,48,2,813,13,328,16,165,5,2,46,0,1,192,1,2884
ADNP,170,7987,8773,1751,133,3123,1,453,5108,14,22,1226,2712,0,1950,1361,221,1596,3059,0,1592,1787,1596,1547,3408,2971,2284,3681,31,3046,1087,2690,172,422,2850,0,1,404,5682,3026,952,3459,656,0,1455,2525,9386,5353,4343,1495,14,2,3948,4043,89,1162,1536,5280,5138,2830,0,1608,9386,2789,0
ADNP2,0,1,7,1,0,196,1,1,75,557,7,0,1,0,6,0,0,50,1797,0,0,0,37,11,0,0,1,179,0,40,261,94,841,10,0,40,1,0,122,0,0,0,12,0,6,0,1,0,0,0,0,1807,0,18,208,0,678,31,100,46,0,434,6,329,22
ADPRHL2,129,1,0,1,0,0,1,9,536,6,0,0,1,0,0,0,0,3,577,2051,194,0,421,17,0,1,0,3,0,0,0,0,0,712,574,32,1,7,138,0,0,0,1,51,0,0,1,193,12,14,1001,1380,0,0,2,93,1281,288,6,0,0,1,0,1,0
ADRA2A,0,101,0,1,0,0,1,0,0,0,97,9,1,1931,0,60,0,0,0,0,26,2627,1437,0,0,0,0,0,0,8,2,267,1392,0,0,0,1,491,0,0,0,0,0,252,0,0,1,0,0,1604,41,0,0,7,0,0,558,0,0,453,103,1,109,1,38
ADRM1,0,1,15,1,67,26,360,1,4,0,0,6,1,0,0,0,334,0,382,47,86,14,9,354,284,3,2,18,0,0,0,117,0,10,4,0,1,62,8,172,289,0,19,0,482,0,68,0,0,0,158,34,0,0,1,4,1,1,103,46,78,1,20,1,335
ADSL,0,1,0,1,0,187,1,431,8,735,0,667,1,0,14,0,519,95,79,283,0,331,0,262,62,48,1717,1,0,0,170,0,0,10,52,19,1,737,2572,0,1684,2,945,2877,1897,86,1,0,0,0,14,10,1359,0,4,0,465,142,2,0,0,1,0,1,0
ADSS,0,1,28,1,0,14,1,0,0,1611,0,0,309,0,0,0,66,5,0,0,47,0,0,2,0,38,0,351,0,0,0,0,564,515,0,74,1,0,361,0,133,5,48,0,0,16,1,0,22,61,0,0,1,0,0,1892,1,0,35,46,0,1,0,1,0
AEBP2,129,101,2414,470,1156,3907,1,801,473,2324,0,64,82,2681,421,4621,51,6316,4544,1611,3254,3619,2627,751,0,3480,512,2185,1852,62,4722,1709,139,2866,7987,2519,4321,899,798,532,722,11,2702,891,422,69,1,5313,2450,1665,2241,1782,440,2482,4567,8079,1,1625,2241,93,0,593,0,2311,604
AEN,0,1,0,1,48,14,1,7,15,0,0,0,1,0,0,0,0,38,0,0,1,0,0,0,0,8,0,0,381,0,0,0,0,0,1637,46,1,1,0,20,0,0,11,0,0,0,1,0,0,0,0,2,0,59,0,0,1,309,0,0,0,1,0,1,579
AES,0,302,0,158,19,73,396,16,103,1,21,294,705,218,28,476,219,1,452,320,104,139,81,36,1137,0,0,0,0,151,58,244,686,272,55,155,1,100,0,80,14,24,1,83,0,51,726,46,12,425,206,63,14,85,59,148,549,15,33,0,582,698,164,887,50
AFAP1,231,1774,0,1,2,0,1,0,0,0,573,55,150,0,0,202,0,0,21,0,0,14,131,0,62,0,0,0,285,0,113,0,0,0,7,0,1,3,0,0,0,0,0,143,3,0,68,0,0,8773,0,26,0,42,44,2,1,0,0,1091,452,1,55,1,0
AFF1,64,1,9,1,0,0,1,102,1,51,0,0,1,0,14,0,0,15,0,17,1,74,4,1104,0,64,1,4,0,0,0,0,0,0,0,0,1,0,8,0,221,0,445,0,70,2,1033,0,798,25,0,0,100,0,0,78,1,52,1,0,0,1,208,1,0
AFF3,0,1,0,1,0,14,1,0,0,200,668,1793,1,149,0,37,0,0,0,0,1173,51,1374,0,354,0,0,0,955,89,159,0,0,0,0,560,1,300,0,0,14,0,0,0,0,35,1,813,0,340,50,21,0,25,256,0,1,0,0,0,0,120,6168,87,0
AFF4,0,537,34,1,28,440,642,0,50,0,165,43,957,72,2246,154,66,0,1942,66,137,14,9,129,3799,0,6,8,0,278,0,1264,255,39,1651,100,905,0,198,0,48,32,10,72,0,0,2089,554,89,0,336,35,7,0,1054,124,304,445,39,0,50,302,645,1,5614
AFMID,930,1,4,1,12,228,1,11,16,40,0,2,296,0,12,0,0,4,62,243,7,0,27,58,0,152,12,8,53,8,3,0,33,0,636,0,1,5,37,0,14,13,2,0,53,116,1,0,71,0,0,62,27,5,28,7,1,2,39,517,0,1,3,1,573
AFTPH,64,1,0,1,0,26,1,0,33,22,0,0,1,188,50,561,668,1,0,0,252,14,13,2,62,130,3,149,1096,8,0,0,0,10,139,387,1,2,0,20,0,80,2,0,1,0,1,0,67,0,0,259,4,72,0,2,1,0,165,0,0,1,6,1,289
AGAP1,1709,741,0,1,0,0,1,0,0,1,0,0,1741,0,165,0,0,7,0,0,0,0,0,82,0,439,341,0,0,1335,6,1196,0,20,1369,147,131,35,0,0,0,7,11,0,51,69,1,0,0,0,0,14,42,0,156,0,1,0,9,0,0,1,161,1,0
AGAP4,0,1,89,1,0,0,1,0,4,0,0,117,1,173,18,0,88,0,0,0,27,77,4,1,0,0,0,0,0,0,3,0,0,0,20,0,1,0,0,0,0,92,7,0,0,15,1,0,404,235,0,11,0,0,1,0,1,0,0,0,0,1,0,1,22
AGAP6,0,1,53,1,0,0,1,2,14,1,153,0,1,0,707,0,0,0,0,0,0,34,0,0,62,0,0,0,15,8,7,0,0,26,0,40,1,0,0,0,0,0,2,0,0,7,1,7,283,105,0,2,0,0,54,2,1,0,10,0,112,1,35,1,38
AGAP9,0,1,88,1,0,0,1,4,3,1,64,0,1,18,0,0,0,1,0,0,55,68,91,0,0,0,0,0,326,0,0,146,0,0,0,19,1,4,0,43,0,0,0,0,0,0,1,29,0,14,0,0,0,99,2,0,287,0,0,0,0,1,0,1,1887
AGBL5,0,859,0,1,2,45,126,0,0,0,0,20,1,0,0,0,117,0,0,0,11,839,0,0,0,46,0,4,47,0,0,0,0,0,0,0,1,0,30,0,0,0,39,0,1,0,1,0,0,525,7,0,0,0,0,0,4410,0,9,0,0,1,0,1,0
AGFG1,0,1,152,1,0,0,1,1,20,61,0,0,1,0,0,2177,0,13,106,17,0,193,0,0,0,0,1,0,84,8,2177,0,0,0,129,329,1,118,0,43,0,2,0,0,2,0,1,0,0,43,0,493,2,0,58,6,84,0,5,0,0,1,3,1,38
AGGF1,2447,1,0,1,0,50,1,54,28,0,0,4,1,0,928,0,0,0,0,0,0,73,0,9,0,67,0,0,0,0,0,0,0,0,9,32,1,48,341,0,0,482,0,0,62,0,1,0,0,0,459,0,20,40,0,0,819,0,0,0,0,480,0,65,0
AGL,289,1,0,1,0,0,1,7,0,28,13,43,1,0,0,0,0,0,39,0,33,6382,452,0,735,0,8,0,0,190,4,3480,0,0,0,0,154,0,0,0,0,0,0,303,2,0,1,7,417,14,124,144,1,2,0,19,1,3,1,0,0,1,243,1,0
AGO1,0,1,7,1,8,0,1,1213,352,96,2428,605,1,0,6,654,0,95,0,0,37,382,37,0,62,0,0,608,134,0,283,0,0,2706,0,78,1,1,8,620,0,0,0,0,1278,0,1,1193,0,54,3551,0,167,501,0,12,575,0,73,229,1213,1,0,452,0
AGO2,0,101,750,1,1905,0,8197,1054,12,774,0,6,1,7342,102,0,0,1356,48,59,16,392,0,1080,0,219,5,0,0,162,17,117,0,2525,745,0,571,1451,2311,0,0,11,15,1309,1015,2,1343,18,1314,57,7,0,317,1902,37,215,1,0,103,93,718,1,3,1,50
AGO3,0,1,96,1,195,0,1,94,153,2830,51,10,579,195,98,0,2073,5978,441,83,3,5577,118,14,0,45,0,40,95,1714,2,1287,651,29,1208,155,1648,8,8,20,845,2,0,323,449,255,363,270,1522,4142,283,2,134,8,9,0,228,89,0,46,341,120,3600,555,0
AGO4,637,1,12,1,113,0,1,11,1,0,95,40,1,47,0,0,188,1,39,0,714,231,215,76,0,5,2,1,245,19,2529,0,0,850,0,65,1,71,0,20,48,2,335,0,4,0,1,14,0,45,324,9,24,4,9,307,1,1,910,396,801,1,54,1,0
AGPAT3,0,1,0,1,0,0,1,0,0,0,0,18,1,31,0,857,0,31,1083,0,0,34,0,0,0,0,109,0,0,0,2,36,0,0,0,109,1,0,137,0,0,0,0,0,0,0,1,0,135,0,87,0,0,6,0,0,1,0,0,0,0,1,0,1,0
AGPAT4,0,1,0,474,2,0,1,2,100,0,0,4043,1,40,0,0,122,1,0,0,66,0,4,565,0,7,4,6,0,0,26,0,1797,0,4,0,1,0,0,20,0,7,10,0,154,4,453,0,0,0,3326,7,0,0,0,27,1,144,0,0,94,1,0,1501,0
AGPAT5,0,101,75,1,948,26,1,151,19,11,0,0,1,77,0,0,0,2,0,0,0,0,23,114,0,1,670,883,0,8,17,0,249,34,0,116,1,1,15,43,444,0,0,0,15,2,2482,239,0,0,0,245,15,0,54,28,1,700,1,274,0,1,577,6764,1395
AGPAT6,0,1,0,1,106,0,1,37,1,10,52,14,210,1720,0,0,0,33,0,17,58,0,111,322,0,89,32,8,1456,1231,1,332,0,0,0,0,1,0,8,20,0,2,4,367,2,0,103,0,833,0,0,0,114,137,7,11,1,10,3,0,0,1,0,1,0
AGPS,254,1,340,1,0,0,1942,74,472,212,39,174,1,0,0,0,0,20,0,0,0,1326,2550,42,0,535,2,453,0,8,463,0,0,0,10,0,1,147,303,0,92,23,1,684,281,146,1,0,12,0,0,2,0,0,6,0,1,3,0,2040,1755,1,45,1,0
AGTPBP1,1688,1,69,910,0,0,1,19,21,0,0,144,288,79,6,73,0,35,0,0,7,0,347,0,539,0,1,121,0,0,19,0,0,0,25,0,1,0,0,0,0,44,6,0,0,6,164,0,12,707,111,0,1,4,0,403,84,2,3,0,78,1,163,855,0
AGTRAP,0,1,0,1,447,14,1,3,815,10,0,0,82,0,2031,0,34,0,0,0,0,0,0,16,0,0,1,72,0,8,0,0,0,94,0,0,1,0,0,0,0,48,10,0,557,70,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,1,0
AHCTF1,0,1,0,1,11,0,1,0,5,0,758,0,82,55,55,485,445,525,746,44,117,0,9,0,0,4,168,0,0,1097,126,138,0,10,0,0,1,0,0,20,27,2,63,136,19,0,1,18,0,0,0,76,39,0,0,34,969,0,1,1989,0,1,621,1,70
AHCY,380,595,2902,498,10,932,1,777,2,46,99,28,234,59,37,138,114,109,89,3448,762,78,65,32,203,155,2,1959,137,71,25,171,117,82,5172,70,131,3,309,296,86,22,16,272,1445,1854,1,213,73,39,63,22,410,25,28,19,161,81,1131,211,103,402,305,161,108
AHCYL1,64,1,27,256,7,3046,1,7,29,3,27,3287,82,95,123,37,0,182,39,208,34,0,4,2482,0,2961,15,160,77,0,0,0,0,233,155,0,495,34,64,0,478,344,7,0,184,3,1,0,502,0,0,0,3,23,1,2,84,45,5,1220,78,1,0,1,0
AHDC1,0,533,0,1,6,208,1,1,1,0,0,0,1,0,0,0,0,36,0,0,1,321,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,148,0,0,0,115,3,0,1,0,19,0,23,0,6,0,0,0,304,4,0,0,0,475,0,1,0
AHI1,0,1,1488,1,39,14,456,49,102,164,7,5,1,0,511,0,0,0,86,0,0,0,9,37,0,184,33,0,0,802,74,0,56,0,5650,0,1,21,263,0,14,267,126,0,26,87,1,724,0,0,0,462,69,170,32,0,1,212,349,240,78,1,20,1,65
AHSA1,1395,1,0,1,29,395,1,0,446,53,40,65,182,0,14,124,0,8,698,211,83,140,321,128,0,20,2,0,31,8,20,2961,0,93,108,0,1,8,117,3326,60,0,0,0,23,8,644,867,260,0,139,217,10,74,4,54,1618,5,154,735,0,593,321,164,0
AIDA,0,1,9,1,514,0,1,0,0,0,0,112,82,0,35,0,0,30,0,0,0,0,30,15,0,1,7,0,0,8,0,0,0,0,0,116,1,0,0,0,0,2,0,0,0,0,1327,0,0,0,0,0,528,0,0,0,1,18,9,0,0,1,0,1,0
AIF1L,0,1,116,1,8,0,362,28,766,32,0,0,82,0,258,0,2497,0,752,154,0,0,4,0,0,1,141,0,0,0,4,68,0,51,1916,19,2588,0,0,0,126,111,23,0,0,0,1,0,294,0,921,0,0,0,6,0,1,17,0,46,0,1,0,1,0
AIG1,0,1,1097,1,7,2035,1,4,0,7,0,0,1,0,60,0,0,13,0,61,4,0,687,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,362,51,224,1,0,21,19,1,0,60,0,1440,117,1,0,0,0,1,41,232,0,0,1,0,1,0
AIMP1,0,1,0,1,83,0,1,3128,17,2,154,10,82,0,26,60,885,57,21,97,16,0,0,1151,0,26,41,113,0,2284,759,0,3480,60,305,239,565,23,8,445,14,184,71,728,70,25,1,7,0,412,41,148,50,5,3607,0,180,4,10,0,143,198,0,65,374
AIMP2,129,101,4,1,65,150,1,3,32,86,458,6,1,0,24,37,0,2,0,17,4,14,4,1,0,158,41,0,0,8,1,0,841,0,9,134,1,13,8,0,27,0,19,0,43,2,1,0,1266,57,0,7,0,0,68,12,1,0,4,137,50,198,12,1,22
AIP,0,1,0,1,5,1168,1,25,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,62,0,2254,0,0,0,0,0,0,0,0,260,131,5,0,0,0,0,0,0,11,147,1038,0,423,72,21,0,4,3,34,0,1,0,75,0,667,1,22,1,0
AK1,0,636,0,1,0,251,1,0,2,0,106,0,1,92,24,0,0,0,0,0,126,388,528,106,0,0,0,0,907,0,104,0,119,29,28,139,1,43,0,284,133,17,0,0,0,0,1,14,0,132,143,159,0,56,49,294,1,0,0,0,50,120,67,1,1076
AK2,0,1,814,625,0,0,1,522,0,331,0,2,220,0,21,37,124,10,1714,104,0,0,0,1,0,39,0,0,0,0,7,36,33,0,67,0,1,18,0,0,0,18,66,0,81,0,1,21,0,50,0,9,106,27,114,0,84,298,1,0,0,1,9,421,923
AK3,170,101,19,329,7,467,1,301,1,1,19,10,1089,1350,10,129,46,24,150,69,27,44,17,1070,203,140,3,677,80,32,0,84,56,10,9,337,89,1,15,20,229,9,21,156,0,7,120,1341,31,36,25,8,11,5,1,6,1,1,151,143,103,338,15,221,0
AK4,1029,1,7,1,0,0,1,324,14,1648,183,4,1,0,21,0,0,771,21,711,1,0,1049,40,0,63,27,8,0,8,11,36,56,44,0,0,422,0,19,0,14,10,18,0,441,796,1,0,0,0,7,7,8,0,0,0,1,173,2,0,0,1,0,1,0
AK9,0,1,0,1,0,0,1,274,4,0,0,59,961,0,0,275,1455,0,0,0,6,0,0,75,0,1,0,54,0,0,0,0,0,711,0,0,1,3,592,0,1567,180,0,1519,560,317,1,7,12,0,0,0,0,35,0,0,1,0,24,93,0,1,0,161,0
AKAP10,0,1,0,1,2,138,1,0,1711,159,31,0,1,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,57,11,0,2193,0,9,0,1,0,0,0,0,0,0,0,5,0,1,36,12,0,7,0,0,0,9,14,1,2,1,0,0,402,0,1578,38
AKAP11,0,1,18,1,0,0,1,82,0,158,188,5,1167,570,1043,115,0,1015,21,0,3133,38,1730,4,62,1,0,1,68,71,5,0,391,3340,993,0,1,1673,30,0,14,266,0,361,86,0,1,447,0,67,23,2392,0,1,5,12,755,0,0,286,4804,1,43,1,0
AKAP12,0,1,1234,1,762,4804,1807,1,147,2698,128,245,1,2216,1154,0,2658,1,142,91,4,59,35,80,0,1,184,4,31,36,1063,36,4142,763,114,709,1176,0,6382,0,568,59,0,0,1562,52,1,0,4498,398,14,73,71,30,674,0,1,733,1897,46,50,120,12,1,65
AKAP13,0,220,1959,1,1611,14,780,27,963,1,1626,6,1,2035,134,186,34,1,481,35,7,24,3851,1007,0,7,5,4,0,19,412,68,82,0,611,170,1,253,1557,172,38,13,13,0,469,177,140,86,84,14,1862,16,1630,2,94,86,1,1,633,179,0,1,32,1,163
AKAP6,193,1,0,1,0,0,1,0,0,0,0,529,1,67,2218,0,0,1,21,0,248,137,0,3,0,0,0,0,77,0,0,0,409,0,0,0,1,142,0,0,133,2,0,0,0,0,1,0,0,0,75,0,0,0,466,0,739,0,0,0,0,1,0,1,297
AKAP7,0,1,12,1,0,0,1,0,2,0,71,0,1,0,0,0,126,0,21,0,0,118,0,0,0,0,0,0,0,3689,40,36,0,41,0,0,1143,85,0,0,0,0,0,0,7,0,1,0,0,0,668,0,0,0,2,0,1,0,0,0,287,1,11374,1,0
AKAP8,0,1,21,158,57,241,1,32,0,0,0,0,1,18,90,0,0,0,0,17,0,42,0,2,0,0,1,0,0,0,14,0,0,0,0,0,1,0,1902,0,0,0,0,0,45,394,561,357,0,0,7,0,226,0,0,41,1,0,0,0,845,1,33,1,0
AKAP8L,0,1,0,1,0,0,1,4,227,0,0,35,1,282,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,98,10,0,0,1,0,0,118,0,0,0,0,26,0,1,0,0,0,0,0,0,0,41,433,896,7,3,0,0,2830,9,1,0
AKAP9,1876,2447,537,2089,806,43,557,401,1959,1241,3986,3818,2077,3276,2721,2246,3697,301,2160,7342,4642,2077,6382,3766,62,4694,313,2690,1347,4955,1532,2489,5715,1301,241,1277,492,2971,2172,210,176,1269,133,885,183,430,1247,1953,209,3931,6515,4082,706,3948,680,684,5466,2,9,3364,1104,7150,3660,5715,658
AKIRIN1,0,1,0,1,82,146,864,1,16,0,0,0,1,0,0,0,0,358,0,27,0,0,0,0,0,0,573,1,0,0,0,164,33,83,16,0,1,2,247,43,2237,53,1,98,3,0,1,55,0,0,0,55,24,0,2,37,1,0,1,0,0,1,0,1,129
AKIRIN2,0,1,0,329,103,26,175,13,0,3,23,27,1,26,0,121,0,3,0,0,0,0,20,9,0,21,0,11,41,0,0,36,117,0,106,0,170,0,46,126,70,5,55,268,0,19,1,0,0,0,7,2,131,1,2,6,147,21,126,0,0,717,0,1,0
AKR1A1,0,177,63,1,0,160,1,2533,889,1525,287,16,1044,497,6,828,34,1,151,0,219,0,1398,554,1684,1391,379,584,1503,8,2,325,656,3766,4,1505,3783,117,354,1528,27,1425,23,0,5,7150,1,18,152,14,124,190,21,0,0,20,1,114,9,1007,0,1,9,632,90
AKR1B1,0,101,4,1,608,589,1,686,251,238,0,294,538,0,0,320,0,56,1358,38,113,14,1163,296,0,475,1279,228,0,1730,998,0,801,0,33,0,1216,843,1892,43,14,796,18,119,113,584,68,0,0,0,1730,13,1842,717,3,113,1,1945,24,0,955,1,760,1,270
AKR7A2,0,1,0,1,0,0,1,171,81,14,0,7,1,0,59,0,0,6,0,0,0,0,0,4,0,3,985,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,0,1,0,504,0,39,0,0,5,12,0,0,0,1,3,16,0,0,1,41,1,0
AKTIP,0,1,0,1,1716,26,1686,0,3,0,0,0,1,0,0,0,0,1,0,0,83,1404,0,0,0,11,14,10,0,277,0,0,0,0,0,0,1,0,0,20,0,15,9,0,1,3,425,40,0,0,130,37,315,0,0,8,1,1,993,0,1416,1,582,65,0
ALAD,0,1,0,1,0,0,1,0,66,0,7,2,1,0,0,372,0,0,0,0,0,0,4,0,0,75,0,0,0,0,1,0,70,0,77,0,1,25,0,0,14,0,0,0,99,2,1,0,0,36,0,19,0,0,0,0,373,0,0,3035,0,1,338,1,0
ALAS1,0,1,0,1,0,0,255,0,0,0,0,286,1,0,0,0,0,76,0,0,46,878,0,0,0,0,4,57,0,19,5,36,0,0,0,0,89,0,8,0,0,2,1,104,2,2,1,52,0,75,0,195,47,0,0,90,210,19,0,0,0,1,3,1,0
ALDH16A1,0,1,0,1,117,0,1,49,1,0,0,0,1,0,0,0,180,7,0,0,0,0,0,106,0,0,5,162,0,0,0,0,0,424,0,0,1,0,0,0,0,83,69,0,147,13,1,0,0,0,0,131,91,0,0,0,1,0,96,0,0,1,0,1,0
ALDH18A1,0,177,0,1,118,65,1,7,82,0,0,0,1,0,0,37,0,0,0,0,0,0,0,5,4475,1,0,0,31,0,0,0,469,0,1430,0,1,0,0,0,0,0,1840,0,0,296,1,0,0,0,0,2,1,0,0,27,1,0,17,0,0,1,0,1,894
ALDH1B1,0,1,0,1,278,0,1,56,21,2,57,0,1,0,12,0,0,143,0,46,1,0,0,106,0,34,157,468,0,19,0,0,0,252,4,0,1,2,0,0,0,2,0,0,71,3,1,0,0,0,0,0,30,0,0,0,1,1,1,46,0,1,0,1,0
ALDH2,129,1,63,1,0,0,317,0,0,0,0,1120,1,0,18,0,0,0,0,3006,877,0,0,3,0,14,0,1,1171,0,6,0,56,0,0,0,1,4,0,43,1571,0,373,0,0,0,1,0,80,0,0,0,1,0,0,0,1,0,0,0,0,1,24,1,0
ALDH3A2,6852,1,0,1,0,0,10572,2,4,70,0,0,1,0,0,0,238,58,21,32,0,139,0,1485,0,54,30,10,15,0,19,0,215,39,0,333,1,95,119,989,162,2,89,51,101,88,1,21,12,0,70,0,70,163,0,2,84,3,0,46,2920,1,15,1,0
ALDH6A1,4452,1,235,1,643,810,1,467,158,244,23,14,365,0,1907,127,66,1,0,1233,6,46,0,8,172,179,270,132,223,8,63,68,0,1049,1263,0,1,62,415,135,0,2974,2,83,8,219,68,214,12,36,111,0,91,4,2,4,1,162,126,561,0,198,1037,99,409
ALDH7A1,0,1,4,1,2149,26,126,2728,5766,500,7,2,210,0,0,90,0,2308,0,88,0,0,0,14,0,17,18,17,132,0,790,0,0,0,1253,0,657,0,19,43,195,17,1307,0,19,0,68,178,98,43,0,17,140,2,999,2,1206,317,1,1098,103,1,15,1,0
ALDH9A1,0,1,4,1,0,0,1,0,1,16,0,70,1,18,10,0,196,1,151,0,1018,0,0,0,0,16,160,78,0,19,0,0,365,274,4522,0,5313,0,0,0,0,2,2,0,0,3375,1,99,0,0,0,22,27,1493,0,2,1,0,307,46,0,1,18,1,0
ALDOA,894,941,33,291,4364,6168,524,3882,3491,5978,23,5558,220,384,1006,60,1044,5577,173,687,1281,2024,1040,3333,62,6020,13227,7003,47,4452,132,2274,3384,67,3799,4522,1,1532,2753,1086,194,1920,3799,2893,12676,5930,1,245,8312,43,1509,335,5766,1059,1726,30,124,6934,7234,143,50,302,145,65,6700
ALG11,64,1,1307,1,0,0,1,2,1,0,0,9,1,66,1347,0,116,8,0,0,0,0,0,0,0,50,0,243,0,0,0,0,0,0,0,1246,1,0,0,0,0,0,0,0,27,85,1,0,108,0,14,0,0,0,0,17,1,0,36,0,50,402,3,1,0
ALG13,0,1,0,1,0,0,270,0,35,0,0,0,1,0,0,0,0,7,65,281,0,0,0,1706,62,20,47,5,15,2595,883,0,0,20,48,0,1,37,268,0,0,13,15,0,2,37,1,1920,0,0,7,20,5,25,0,42,1,1,94,251,1716,1,25,1,0
ALG14,0,1,0,1,9,0,1,109,225,0,0,142,1,0,10,0,0,8,0,0,0,0,861,0,0,0,0,0,0,0,94,150,0,0,0,19,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,874,6,1,2089
ALG3,0,1,4,1,0,159,1,0,0,15,1212,2,1,0,0,0,119,0,0,2428,0,0,4,27,0,0,1,0,0,0,8,0,0,0,63,0,1,0,0,0,0,0,993,51,0,2,1,0,12,0,0,0,0,0,6,0,1,398,0,46,0,1,0,1,0
ALG5,0,1,0,1,2,14,1,59,7,2,0,0,1,0,0,0,0,0,0,0,17,0,4,1,127,31,487,0,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,17,0,1,0,1338,612,191,2,19,5,0,453,524,4,1,0,425,1,0,1,0
ALG6,1199,1,0,1,0,0,1,329,40,7,0,163,1,0,0,0,0,159,0,0,10,0,0,0,0,1,12,0,0,0,1,36,0,0,125,0,89,0,0,0,2291,0,3006,0,0,3220,1,0,127,338,0,0,30,96,0,146,124,761,0,46,0,2254,0,1,22
